location_name_unique,location_name_concise
22 FLOOR GARMENTS,22 Floor Garments
22 TEKI KHAL,22 Teki Khal
ANANDA NAGAR BLOCK-D,"Ananda nagar, Block D"
"Ananda nagar, Block D","Ananda nagar, Block D"
"ANANDA NAGAR, BLOCK D","Ananda nagar, Block D"
AVENUE-4 CULVERT-1,Avenue-4 Culvert-1
AVENUE-4 CULVERT-2,Avenue-4 Culvert-2
BANANI-11 BRIDGE-1,Banani-11 Bridge-1
BANANI-11 BRIDGE-2,Banani-11 Bridge-2
Batenia Jame Mosque culvert,Batenia Jame Mosque culvert
BAUNIABAD SWITCH GATE CULVERT,Bauniabad Switch Gate Culvert
"BOAT STAND , DARUS SALAM ROAD","Boat Stand, Darus Salam Road"
"Boat Stand, Darus Salam Road, Technical","Boat Stand, Darus Salam Road, Technical"
"Boro Bazar para, Beribadh, Gabtoli","Boro Bazar para, Beribadh, Gabtoli"
"BRAC CENTER, GULSHAN","Brac Center, Gulshan"
"Gabtoli Hanif Bus Counter, Near Parbath cinema Hall","Gabtoli Hanif Bus Counter, Near Parbath cinema Hall"
GULSHAN CIRCLE -1 MANHOLE,Gulshan Circle-1 Manhole
GULSHAN CIRCLE-2 MANHOLE,Gulshan Circle-2 Manhole
GULSHAN NIKETON LINK BRIDGE,Gulshan Niketon Link Bridge
GULSHAN-2 LINK BRIDGE-1,Gulshan-2 Link Bridge-1
GULSHAN-2 LINK BRIDGE-2,Gulshan-2 Link Bridge-2
Juddhahoto Muktijiddha Complex (Manhole-02),Juddhahoto Muktijiddha Complex (Manhole-02)
KARAIL BOSTI,Karail Bosti-1
KARAIL BOSTI -2,Karail Bosti-2
KARAIL BOSTI-3,Karail Bosti-3
"Lalkuthir Bazar, Mirpur Majar Road","Lalkuthir Bazar, Mirpur Majar Road"
"LALKUTHIR BAZAR, MIRPUR MAJAR ROAD","Lalkuthir Bazar, Mirpur Majar Road"
"LALKUTHIR BAZAR, MIRPUR MAZAR ROAD","Lalkuthir Bazar, Mirpur Majar Road"
MAZAR ROAD CORNER SLAB,Mazar Road Corner Slab
MIRPUR DOHS LINK ROAD -1,Mirpur Dohs Link Road-1
MIRPUR DOHS LINK ROAD -2,Mirpur Dohs Link Road-2
Momen Dewan Bosti,Momen Dewan Bosti
MOMEN DEWAN BOSTI,Momen Dewan Bosti
Nobaberbagh Bus Stand (Manhole-01),Nobaberbagh Bus Stand (Manhole-01)
NOBABERBAGH BUS STAND (MANHOLE-01),Nobaberbagh Bus Stand (Manhole-01)
NOBABERBAGH BUS STAND MANHOLE,Nobaberbagh Bus Stand (Manhole-01)
"PALPARA GHAT, BERIBADH GABTOLI","Palpara Ghat, Beribadh, Gabtoli"
"Palpara Ghat, Beribadh, Gabtoli","Palpara Ghat, Beribadh, Gabtoli"
"PALPARA GHAT, BERIBADH, GABTOLI","Palpara Ghat, Beribadh, Gabtoli"
PARIS ROAD KHAL,Paris Road Khal
"POLLOBI WOMEN DEGREE COLLEGE, KALSHI","Pollobi Women Degree College, Kalshi"
ROAD-9 BARIDHARA PARK,Road-9 Baridhara Park
SAGUFTA,Sagufta
SHAHJADPUR BUS STAND,Shahjadpur Bud Stand
"SOCIETY BALUR MATH, DARUS SALAM","Society Balur Math, Darus Salam"
"Society Balur Math, Darus Salam Road, Technical","Society Balur Math, Darus Salam Road, Technical"
"SOCIETY BALUR MATH, DARUS SALAM ROAD, TECHNICAL","Society Balur Math, Darus Salam Road, Technical"
"SUVASTU SHOPPING COMPLEX, BADDA","Suvastu Shopping Complex, Badda"
"Switch Gate, Beribadh","Switch Gate, Beribadh"
"SWITCH GATE, BERIBADH","Switch Gate, Beribadh"
