"file_name","target_name_unique","target_name_concise","n_copies","ct_value"
"3 std card BG-SP_08-01-23","Adenovirus_F","Adenovirus_40_41",10,30.9978742146483
"3 std card BG-SP_08-01-23","Adenovirus_F","Adenovirus_40_41",100,27.5050947246073
"3 std card BG-SP_08-01-23","Adenovirus_F","Adenovirus_40_41",1000,23.4694205894146
"3 std card BG-SP_08-01-23","Adenovirus_F","Adenovirus_40_41",10000,19.5331928327143
"3 std card BG-SP_08-01-23","Adenovirus_F","Adenovirus_40_41",1e+05,15.0877468222186
"3 std card BG-SP_08-01-23","Adenovirus_Pan","Adenovirus_pan",10,32.5206215012961
"3 std card BG-SP_08-01-23","Adenovirus_Pan","Adenovirus_pan",100,29.5628628067428
"3 std card BG-SP_08-01-23","Adenovirus_Pan","Adenovirus_pan",1000,25.5700878689489
"3 std card BG-SP_08-01-23","Adenovirus_Pan","Adenovirus_pan",10000,21.1697786055909
"3 std card BG-SP_08-01-23","Adenovirus_Pan","Adenovirus_pan",1e+05,18.4308923989638
"3 std card BG-SP_08-01-23","Aeromonas","Aeromonas",10,31.0404067592274
"3 std card BG-SP_08-01-23","Aeromonas","Aeromonas",100,26.8889090583057
"3 std card BG-SP_08-01-23","Aeromonas","Aeromonas",1000,23.019706120019
"3 std card BG-SP_08-01-23","Aeromonas","Aeromonas",10000,19.4136306544692
"3 std card BG-SP_08-01-23","Aeromonas","Aeromonas",1e+05,16.2411474500827
"3 std card BG-SP_08-01-23","Ancyclostoma","Ancylostoma",10,31.1472721439743
"3 std card BG-SP_08-01-23","Ancyclostoma","Ancylostoma",100,26.2000084183161
"3 std card BG-SP_08-01-23","Ancyclostoma","Ancylostoma",1000,23.0039200634607
"3 std card BG-SP_08-01-23","Ancyclostoma","Ancylostoma",10000,20.0604900440876
"3 std card BG-SP_08-01-23","Ancyclostoma","Ancylostoma",1e+05,16.3186652375215
"3 std card BG-SP_08-01-23","Ascaris","Ascaris",10,28.32646665546
"3 std card BG-SP_08-01-23","Ascaris","Ascaris",100,23.9915854025549
"3 std card BG-SP_08-01-23","Ascaris","Ascaris",1000,20.6124264811642
"3 std card BG-SP_08-01-23","Ascaris","Ascaris",10000,17.4306996593987
"3 std card BG-SP_08-01-23","Ascaris","Ascaris",1e+05,13.4550873355281
"3 std card BG-SP_08-01-23","Astrovirus","Astrovirus",100,30.033800286681
"3 std card BG-SP_08-01-23","Astrovirus","Astrovirus",1000,25.7258640206319
"3 std card BG-SP_08-01-23","Astrovirus","Astrovirus",10000,23.2822948264405
"3 std card BG-SP_08-01-23","Astrovirus","Astrovirus",1e+05,19.3145243245057
"3 std card BG-SP_08-01-23","Astrovirus","Astrovirus",1e+06,16.024029091951
"3 std card BG-SP_08-01-23","B.fragilis","B_fragilis",10,31.8573760635224
"3 std card BG-SP_08-01-23","B.fragilis","B_fragilis",100,27.8752164586483
"3 std card BG-SP_08-01-23","B.fragilis","B_fragilis",1000,24.3277001430336
"3 std card BG-SP_08-01-23","B.fragilis","B_fragilis",10000,20.1500730108384
"3 std card BG-SP_08-01-23","B.fragilis","B_fragilis",1e+05,18.316140334486
"3 std card BG-SP_08-01-23","C.jejuni&coli","C_jejuni_coli",10,29.2366735448155
"3 std card BG-SP_08-01-23","C.jejuni&coli","C_jejuni_coli",100,24.8978725072415
"3 std card BG-SP_08-01-23","C.jejuni&coli","C_jejuni_coli",1000,22.1294615712409
"3 std card BG-SP_08-01-23","C.jejuni&coli","C_jejuni_coli",10000,18.2805476521105
"3 std card BG-SP_08-01-23","C.jejuni&coli","C_jejuni_coli",1e+05,15.137575591325
"3 std card BG-SP_08-01-23","Campylobacter_pan","Campylobacter_pan",10,29.1474476933033
"3 std card BG-SP_08-01-23","Campylobacter_pan","Campylobacter_pan",100,24.9435656721254
"3 std card BG-SP_08-01-23","Campylobacter_pan","Campylobacter_pan",1000,21.6787931419422
"3 std card BG-SP_08-01-23","Campylobacter_pan","Campylobacter_pan",10000,18.5024610451883
"3 std card BG-SP_08-01-23","Campylobacter_pan","Campylobacter_pan",1e+05,14.9793238990683
"3 std card BG-SP_08-01-23","Cryptosporidium","Cryptosporidium",10,30.5379009892185
"3 std card BG-SP_08-01-23","Cryptosporidium","Cryptosporidium",100,26.520597365413
"3 std card BG-SP_08-01-23","Cryptosporidium","Cryptosporidium",1000,22.9614649062699
"3 std card BG-SP_08-01-23","Cryptosporidium","Cryptosporidium",10000,19.2243892613857
"3 std card BG-SP_08-01-23","Cryptosporidium","Cryptosporidium",1e+05,15.8143684998383
"3 std card BG-SP_08-01-23","Cryptosporidium_hominis","Cryptosporidium_hominis",10,29.4974777067836
"3 std card BG-SP_08-01-23","Cryptosporidium_hominis","Cryptosporidium_hominis",100,27.0592597028645
"3 std card BG-SP_08-01-23","Cryptosporidium_hominis","Cryptosporidium_hominis",1000,23.5613337023381
"3 std card BG-SP_08-01-23","Cryptosporidium_hominis","Cryptosporidium_hominis",10000,20.4368280809107
"3 std card BG-SP_08-01-23","Cryptosporidium_hominis","Cryptosporidium_hominis",1e+05,16.8273593022267
"3 std card BG-SP_08-01-23","Cryptosporidium_parvum","Cryptosporidium_parvum",10,31.4146965941827
"3 std card BG-SP_08-01-23","Cryptosporidium_parvum","Cryptosporidium_parvum",100,27.5293087627005
"3 std card BG-SP_08-01-23","Cryptosporidium_parvum","Cryptosporidium_parvum",1000,24.1633593131774
"3 std card BG-SP_08-01-23","Cryptosporidium_parvum","Cryptosporidium_parvum",10000,21.0572132149836
"3 std card BG-SP_08-01-23","Cryptosporidium_parvum","Cryptosporidium_parvum",1e+05,17.3939283467815
"3 std card BG-SP_08-01-23","Cyclospora","Cyclospora",10,31.0673512823434
"3 std card BG-SP_08-01-23","Cyclospora","Cyclospora",100,27.9616316547012
"3 std card BG-SP_08-01-23","Cyclospora","Cyclospora",1000,24.0071145933241
"3 std card BG-SP_08-01-23","Cyclospora","Cyclospora",10000,20.6570372100186
"3 std card BG-SP_08-01-23","Cyclospora","Cyclospora",1e+05,17.1662679541671
"3 std card BG-SP_08-01-23","E.bieneusi","E_bieneusi",10,31.1193343819384
"3 std card BG-SP_08-01-23","E.bieneusi","E_bieneusi",100,27.4338834552779
"3 std card BG-SP_08-01-23","E.bieneusi","E_bieneusi",1000,23.9051478135911
"3 std card BG-SP_08-01-23","E.bieneusi","E_bieneusi",10000,20.2267633592741
"3 std card BG-SP_08-01-23","E.bieneusi","E_bieneusi",1e+05,16.7590227413935
"3 std card BG-SP_08-01-23","E.histolytica","E_histolytica",10,33.1755359171487
"3 std card BG-SP_08-01-23","E.histolytica","E_histolytica",100,30.3670970813873
