"file_name","target_name_unique","target_name_concise","n_copies","ct_value"
"KEPS_Std_corrected_08-01-23","Adenovirus_40-41","Adenovirus_40_41",0.1,NA
"KEPS_Std_corrected_08-01-23","Adenovirus_40-41","Adenovirus_40_41",1,NA
"KEPS_Std_corrected_08-01-23","Adenovirus_40-41","Adenovirus_40_41",10,32.8745737231946
"KEPS_Std_corrected_08-01-23","Adenovirus_40-41","Adenovirus_40_41",100,30.5912916249867
"KEPS_Std_corrected_08-01-23","Adenovirus_40-41","Adenovirus_40_41",1000,27.6682351851311
"KEPS_Std_corrected_08-01-23","Adenovirus_40-41","Adenovirus_40_41",10000,23.9994709171309
"KEPS_Std_corrected_08-01-23","Adenovirus_40-41","Adenovirus_40_41",1e+05,20.5629144776282
"KEPS_Std_corrected_08-01-23","AFR-WPV3","AFR_WPV3",20,31.8634525119384
"KEPS_Std_corrected_08-01-23","AFR-WPV3","AFR_WPV3",200,28.6960171871954
"KEPS_Std_corrected_08-01-23","AFR-WPV3","AFR_WPV3",2000,25.7551778031552
"KEPS_Std_corrected_08-01-23","AFR-WPV3","AFR_WPV3",20000,22.5007587906139
"KEPS_Std_corrected_08-01-23","AFR-WPV3","AFR_WPV3",2e+05,19.938107492741
"KEPS_Std_corrected_08-01-23","AFR-WPV3","AFR_WPV3",NA,34.6569213867188
"KEPS_Std_corrected_08-01-23","AFR-WPV3","AFR_WPV3",NA,NA
"KEPS_Std_corrected_08-01-23","AFR-WPV3-mdf","AFR_WPV3_mdf",20,31.9995467546239
"KEPS_Std_corrected_08-01-23","AFR-WPV3-mdf","AFR_WPV3_mdf",200,28.5253378172353
"KEPS_Std_corrected_08-01-23","AFR-WPV3-mdf","AFR_WPV3_mdf",2000,25.141247298531
"KEPS_Std_corrected_08-01-23","AFR-WPV3-mdf","AFR_WPV3_mdf",20000,21.8519969206915
"KEPS_Std_corrected_08-01-23","AFR-WPV3-mdf","AFR_WPV3_mdf",2e+05,18.6170715999496
"KEPS_Std_corrected_08-01-23","AFR-WPV3-mdf","AFR_WPV3_mdf",NA,NA
"KEPS_Std_corrected_08-01-23","AFR-WPV3-mdf","AFR_WPV3_mdf",NA,NA
"KEPS_Std_corrected_08-01-23","C.difficile","C_difficile",0.1,35.629322052002
"KEPS_Std_corrected_08-01-23","C.difficile","C_difficile",1,NA
"KEPS_Std_corrected_08-01-23","C.difficile","C_difficile",10,32.5923341085706
"KEPS_Std_corrected_08-01-23","C.difficile","C_difficile",100,28.8476664719257
"KEPS_Std_corrected_08-01-23","C.difficile","C_difficile",1000,24.8102922191886
"KEPS_Std_corrected_08-01-23","C.difficile","C_difficile",10000,21.8324264650294
"KEPS_Std_corrected_08-01-23","C.difficile","C_difficile",1e+05,17.8617954824079
"KEPS_Std_corrected_08-01-23","C.jejuni-coli","C_jejuni_coli",0.1,NA
"KEPS_Std_corrected_08-01-23","C.jejuni-coli","C_jejuni_coli",1,NA
"KEPS_Std_corrected_08-01-23","C.jejuni-coli","C_jejuni_coli",10,34.9658439273886
