"file_name","target_name_unique","target_name_concise","n_copies","ct_value"
"Qadri-TAC_Std_corrected_08-01-23","Adenovirus_40_41","Adenovirus_40_41",0.1,NA
"Qadri-TAC_Std_corrected_08-01-23","Adenovirus_40_41","Adenovirus_40_41",1,"32.8029327392578"
"Qadri-TAC_Std_corrected_08-01-23","Adenovirus_40_41","Adenovirus_40_41",10,"27.3202743530273"
"Qadri-TAC_Std_corrected_08-01-23","Adenovirus_40_41","Adenovirus_40_41",100,"24.2447452545166"
"Qadri-TAC_Std_corrected_08-01-23","Adenovirus_40_41","Adenovirus_40_41",1000,"20.2942485809326"
"Qadri-TAC_Std_corrected_08-01-23","Adenovirus_40_41","Adenovirus_40_41",10000,"18.3001308441162"
"Qadri-TAC_Std_corrected_08-01-23","Adenovirus_40_41","Adenovirus_40_41",1e+05,"15.8191576004028"
"Qadri-TAC_Std_corrected_08-01-23","Aeromonas","Aeromonas",0.1,NA
"Qadri-TAC_Std_corrected_08-01-23","Aeromonas","Aeromonas",1,"30.5199508666992"
"Qadri-TAC_Std_corrected_08-01-23","Aeromonas","Aeromonas",10,"28.066276550293"
"Qadri-TAC_Std_corrected_08-01-23","Aeromonas","Aeromonas",100,"24.8392124176025"
"Qadri-TAC_Std_corrected_08-01-23","Aeromonas","Aeromonas",1000,"21.4983978271484"
"Qadri-TAC_Std_corrected_08-01-23","Aeromonas","Aeromonas",10000,"17.0017509460449"
"Qadri-TAC_Std_corrected_08-01-23","Aeromonas","Aeromonas",1e+05,"15.1752157211304"
"Qadri-TAC_Std_corrected_08-01-23","Ancylostoma","Ancylostoma",0.1,NA
"Qadri-TAC_Std_corrected_08-01-23","Ancylostoma","Ancylostoma",1,"34.9569892883301"
"Qadri-TAC_Std_corrected_08-01-23","Ancylostoma","Ancylostoma",10,"29.686092376709"
"Qadri-TAC_Std_corrected_08-01-23","Ancylostoma","Ancylostoma",100,"26.1783275604248"
"Qadri-TAC_Std_corrected_08-01-23","Ancylostoma","Ancylostoma",1000,"22.7238464355469"
"Qadri-TAC_Std_corrected_08-01-23","Ancylostoma","Ancylostoma",10000,"19.553825378418"
"Qadri-TAC_Std_corrected_08-01-23","Ancylostoma","Ancylostoma",1e+05,"16.1576957702637"
"Qadri-TAC_Std_corrected_08-01-23","Ascaris","Ascaris",0.1,"34.597728729248"
"Qadri-TAC_Std_corrected_08-01-23","Ascaris","Ascaris",1,"31.4050731658936"
"Qadri-TAC_Std_corrected_08-01-23","Ascaris","Ascaris",10,"28.664737701416"
"Qadri-TAC_Std_corrected_08-01-23","Ascaris","Ascaris",100,"24.2947044372559"
"Qadri-TAC_Std_corrected_08-01-23","Ascaris","Ascaris",1000,"20.7291965484619"
"Qadri-TAC_Std_corrected_08-01-23","Ascaris","Ascaris",10000,"18.2022705078125"
"Qadri-TAC_Std_corrected_08-01-23","Ascaris","Ascaris",1e+05,"15.7301664352417"
"Qadri-TAC_Std_corrected_08-01-23","Astrovirus","Astrovirus",1,NA
"Qadri-TAC_Std_corrected_08-01-23","Astrovirus","Astrovirus",10,"35.2728843688965"
"Qadri-TAC_Std_corrected_08-01-23","Astrovirus","Astrovirus",100,"33.4738578796387"
